,Abalone
Distributed SMOGN (k_partitions = 2)_Fold 0,10.193
Distributed SMOGN (k_partitions = 2)_Fold 1,6.882
Distributed SMOGN (k_partitions = 2)_Fold 2,3.198
Distributed SMOGN (k_partitions = 2)_Fold 3,3.153
Distributed SMOGN (k_partitions = 2)_Fold 4,2.949
Distributed SMOGN (k_partitions = 4)_Fold 0,5.67
Distributed SMOGN (k_partitions = 4)_Fold 1,6.476
Distributed SMOGN (k_partitions = 4)_Fold 2,4.153
Distributed SMOGN (k_partitions = 4)_Fold 3,4.484
Distributed SMOGN (k_partitions = 4)_Fold 4,3.027
Distributed SMOGN (k_partitions = 8)_Fold 0,4.338
Distributed SMOGN (k_partitions = 8)_Fold 1,10.782
Distributed SMOGN (k_partitions = 8)_Fold 2,3.524
Distributed SMOGN (k_partitions = 8)_Fold 3,4.307
Distributed SMOGN (k_partitions = 8)_Fold 4,3.566
ROS_Fold 0,2.01
ROS_Fold 1,1.073
ROS_Fold 2,0.821
ROS_Fold 3,1.134
ROS_Fold 4,0.902
RUS_Fold 0,4.992
RUS_Fold 1,3.539
RUS_Fold 2,3.084
RUS_Fold 3,2.888
RUS_Fold 4,2.244
